case,id,sex,deg,yrdeg,field,startyr,year,rank,admin,salary
62,12,M,PhD,64,Other,64,82,Full,0,3619.0
63,12,M,PhD,64,Other,64,83,Full,0,4798.0
64,12,M,PhD,64,Other,64,84,Full,0,5052.0
65,12,M,PhD,64,Other,64,85,Full,0,5052.0
66,12,M,PhD,64,Other,64,86,Full,0,5203.0
67,12,M,PhD,64,Other,64,87,Full,0,5464.0
68,12,M,PhD,64,Other,64,88,Full,0,5786.0
69,12,M,PhD,64,Other,64,89,Full,0,7743.284
70,12,M,PhD,64,Other,64,90,Full,0,8145.0
71,12,M,PhD,64,Other,64,91,Full,0,8523.0
72,12,M,PhD,64,Other,64,92,Full,0,8770.0
73,12,M,PhD,64,Other,64,93,Full,0,9025.0
74,12,M,PhD,64,Other,64,94,Full,0,9025.0
75,12,M,PhD,64,Other,64,95,Full,0,9286.0
76,13,M,PhD,68,Prof,69,76,Assoc,0,1875.0
77,13,M,PhD,68,Prof,69,77,Assoc,0,2136.0
78,13,M,PhD,68,Prof,69,78,Assoc,0,2256.0
79,13,M,PhD,68,Prof,69,79,Assoc,0,2540.0
80,13,M,PhD,68,Prof,69,80,Assoc,0,2824.0
81,13,M,PhD,68,Prof,69,81,Assoc,0,3137.0
82,13,M,PhD,68,Prof,69,82,Full,0,3322.0
83,13,M,PhD,68,Prof,69,83,Full,0,3505.0
84,13,M,PhD,68,Prof,69,84,Full,0,3742.0
85,13,M,PhD,68,Prof,69,85,Full,0,3742.0
86,13,M,PhD,68,Prof,69,86,Full,0,4641.0
87,13,M,PhD,68,Prof,69,87,Full,0,4874.0
88,13,M,PhD,68,Prof,69,88,Full,0,6675.0
89,13,M,PhD,68,Prof,69,89,Full,0,7142.0
90,13,M,PhD,68,Prof,69,90,Full,0,7475.0
91,13,M,PhD,68,Prof,69,91,Full,0,7935.0
92,13,M,PhD,68,Prof,69,92,Full,0,8165.0
93,13,M,PhD,68,Prof,69,93,Full,0,8402.0
94,13,M,PhD,68,Prof,69,94,Full,0,8402.0
95,13,M,PhD,68,Prof,69,95,Full,0,8770.0
96,14,M,PhD,79,Other,92,92,Assoc,0,8646.0
97,14,M,PhD,79,Other,92,93,Assoc,0,8770.0
98,14,M,PhD,79,Other,92,94,Full,0,9025.0
99,14,M,PhD,79,Other,92,95,Full,0,9477.0
100,15,M,PhD,72,Other,91,91,Full,0,4538.0
101,15,M,PhD,72,Other,91,92,Full,0,4737.0
102,15,M,PhD,72,Other,91,93,Full,0,4875.0
103,15,M,PhD,72,Other,91,94,Full,0,4875.0
104,15,M,PhD,72,Other,91,95,Full,0,5088.0
105,16,M,PhD,73,Other,79,79,Assist,0,1889.0
106,16,M,PhD,73,Other,79,80,Assist,0,2037.0
107,16,M,PhD,73,Other,79,81,Assist,0,2323.0
108,16,M,PhD,73,Other,79,82,Assoc,0,2425.0
109,16,M,PhD,73,Other,79,83,Assoc,0,3619.0
110,16,M,PhD,73,Other,79,84,Assoc,0,3742.0
111,16,M,PhD,73,Other,79,85,Assoc,0,3742.0
112,16,M,PhD,73,Other,79,86,Assoc,0,4081.0
113,16,M,PhD,73,Other,79,87,Assoc,0,4286.0
114,16,M,PhD,73,Other,79,88,Assoc,0,4538.0
115,16,M,PhD,73,Other,79,89,Full,0,5290.0
116,16,M,PhD,73,Other,79,90,Full,0,6480.0
117,16,M,PhD,73,Other,79,91,Full,0,6977.0
118,16,M,PhD,73,Other,79,92,Full,0,7180.0
119,16,M,PhD,73,Other,79,93,Full,0,7602.0
120,16,M,PhD,73,Other,79,94,Full,0,7602.0
121,16,M,PhD,73,Other,79,95,Full,0,7935.0
122,17,M,PhD,72,Other,72,76,Assist,0,1773.0
123,17,M,PhD,72,Other,72,77,Assoc,0,2019.0
124,17,M,PhD,72,Other,72,78,Assoc,0,2176.0
125,17,M,PhD,72,Other,72,79,Assoc,0,2411.0
126,17,M,PhD,72,Other,72,80,Assoc,0,2552.0
127,17,M,PhD,72,Other,72,81,Assoc,0,2758.0
128,17,M,PhD,72,Other,72,82,Assoc,0,2838.0
129,17,M,PhD,72,Other,72,83,Full,0,2994.0
130,17,M,PhD,72,Other,72,84,Full,0,3197.0
131,17,M,PhD,72,Other,72,85,Full,0,3197.0
132,17,M,PhD,72,Other,72,86,Full,0,3293.0
133,17,M,PhD,72,Other,72,87,Full,0,3458.0
134,17,M,PhD,72,Other,72,88,Full,0,3877.0
135,17,M,PhD,72,Other,72,89,Full,0,4520.0
136,17,M,PhD,72,Other,72,90,Full,0,4731.0
137,17,M,PhD,72,Other,72,91,Full,0,5168.0
138,17,M,PhD,72,Other,72,92,Full,0,5318.0
139,17,M,PhD,72,Other,72,93,Full,0,5394.0
140,17,M,PhD,72,Other,72,94,Full,0,5394.0
141,17,M,PhD,72,Other,72,95,Full,0,5472.0
142,18,M,PhD,67,Prof,69,76,Assoc,0,2180.0
143,18,M,PhD,67,Prof,69,77,Assoc,0,1915.0
144,18,M,PhD,67,Prof,69,79,Full,0,2610.0
145,18,M,PhD,67,Prof,69,81,Full,0,3178.0
146,18,M,PhD,67,Prof,69,82,Full,0,3365.0
147,18,M,PhD,67,Prof,69,83,Full,0,3550.0
148,18,M,PhD,67,Prof,69,84,Full,0,4013.0
149,18,M,PhD,67,Prof,69,85,Full,0,4013.0
150,18,M,PhD,67,Prof,69,86,Full,0,4908.0
151,18,M,PhD,67,Prof,69,87,Full,0,5155.0
152,18,M,PhD,67,Prof,69,88,Full,0,5305.0
153,18,M,PhD,67,Prof,69,89,Full,0,5756.0
154,18,M,PhD,67,Prof,69,90,Full,0,6025.0
155,18,M,PhD,67,Prof,69,91,Full,0,6305.0
156,18,M,PhD,67,Prof,69,92,Full,0,6581.0
157,18,M,PhD,67,Prof,69,93,Full,0,6772.0
158,18,M,PhD,67,Prof,69,94,Full,0,6772.0
159,18,M,PhD,67,Prof,69,95,Full,0,7069.0
160,19,M,PhD,79,Other,91,91,Assist,0,3221.0
161,19,M,PhD,79,Other,91,92,Assist,0,3509.0
162,19,M,PhD,79,Other,91,93,Assist,0,3509.0
163,19,M,PhD,79,Other,91,94,Assoc,0,3611.0
164,19,M,PhD,79,Other,91,95,Assoc,0,4332.0
165,20,F,PhD,92,Arts,95,95,Assist,0,4231.0
166,21,M,PhD,88,Arts,88,88,Assist,0,2913.0
167,21,M,PhD,88,Arts,88,89,Assist,0,3029.0
168,21,M,PhD,88,Arts,88,90,Assist,0,3310.0
169,21,M,PhD,88,Arts,88,91,Assist,0,3564.0
170,21,M,PhD,88,Arts,88,92,Assist,0,3774.0
171,21,M,PhD,88,Arts,88,93,Assist,0,3883.0
172,21,M,PhD,88,Arts,88,94,Assoc,0,3996.0
173,21,M,PhD,88,Arts,88,95,Assoc,0,4171.0
174,22,M,PhD,93,Other,93,93,Assist,0,4676.0
175,22,M,PhD,93,Other,93,94,Assist,0,4676.0
176,22,M,PhD,93,Other,93,95,Assist,0,4881.0
177,23,M,PhD,70,Other,70,76,Full,0,2601.818
178,23,M,PhD,70,Other,70,77,Full,0,2990.411
179,23,M,PhD,70,Other,70,78,Full,0,3195.522
180,23,M,PhD,70,Other,70,79,Full,0,3556.0
181,23,M,PhD,70,Other,70,80,Full,0,3897.0
182,23,M,PhD,70,Other,70,81,Full,0,4358.0
183,23,M,PhD,70,Other,70,82,Full,0,4681.0
184,23,M,PhD,70,Other,70,84,Full,0,5199.0
185,23,M,PhD,70,Other,70,85,Full,0,5199.0
186,23,M,PhD,70,Other,70,86,Full,0,6730.0
187,23,M,PhD,70,Other,70,87,Full,0,7067.0
188,23,M,PhD,70,Other,70,88,Full,0,7377.0
189,23,M,PhD,70,Other,70,89,Full,0,8122.0
190,23,M,PhD,70,Other,70,90,Full,0,8748.0
191,23,M,PhD,70,Other,70,91,Full,0,9420.0
192,23,M,PhD,70,Other,70,92,Full,0,9974.0
193,23,M,PhD,70,Other,70,93,Full,0,10411.0
194,23,M,PhD,70,Other,70,94,Full,0,10411.0
195,23,M,PhD,70,Other,70,95,Full,0,10867.0
196,24,M,PhD,76,Prof,83,83,Assoc,0,3985.0
197,24,M,PhD,76,Prof,83,84,Assoc,0,4195.0
198,24,M,PhD,76,Prof,83,85,Assoc,0,4195.0
199,24,M,PhD,76,Prof,83,86,Full,0,5354.0
200,24,M,PhD,76,Prof,83,87,Full,0,5623.0
201,24,M,PhD,76,Prof,83,88,Full,0,5953.0
202,24,M,PhD,76,Prof,83,89,Full,0,6462.0
203,24,M,PhD,76,Prof,83,90,Full,0,7583.0
204,24,M,PhD,76,Prof,83,91,Full,0,8049.0
205,24,M,PhD,76,Prof,83,92,Full,0,8402.0
206,24,M,PhD,76,Prof,83,93,Full,0,8770.0
207,24,M,PhD,76,Prof,83,94,Full,0,8770.0
208,24,M,PhD,76,Prof,83,95,Full,0,9420.0
209,26,M,PhD,67,Other,71,76,Assoc,0,1908.772
210,26,M,PhD,67,Other,71,77,Assoc,0,2097.0
211,26,M,PhD,67,Other,71,78,Assoc,0,2176.0
212,26,M,PhD,67,Other,71,79,Assoc,0,2454.0
213,26,M,PhD,67,Other,71,80,Assoc,0,2642.0
214,26,M,PhD,67,Other,71,81,Assoc,0,2838.0
215,26,M,PhD,67,Other,71,82,Assoc,0,2920.0
216,26,M,PhD,67,Other,71,83,Assoc,0,3081.0
217,26,M,PhD,67,Other,71,84,Assoc,0,3484.0
218,26,M,PhD,67,Other,71,85,Full,0,3586.0
219,26,M,PhD,67,Other,71,86,Full,0,4023.0
220,26,M,PhD,67,Other,71,87,Full,0,4225.0
221,26,M,PhD,67,Other,71,88,Full,0,4410.0
222,26,M,PhD,67,Other,71,89,Full,0,4718.0
223,26,M,PhD,67,Other,71,90,Full,0,4800.0
224,26,M,PhD,67,Other,71,91,Full,0,4881.0
225,26,M,PhD,67,Other,71,92,Full,0,4881.0
226,26,M,PhD,67,Other,71,93,Full,0,4951.0
227,26,M,PhD,67,Other,71,94,Full,0,4951.0
228,26,M,PhD,67,Other,71,95,Full,0,5022.0
229,28,M,PhD,92,Prof,93,93,Assist,0,3828.0
230,28,M,PhD,92,Prof,93,94,Assist,0,3828.0
231,28,M,PhD,92,Prof,93,95,Assist,0,4292.0
232,29,M,PhD,80,Other,81,81,Assist,0,1985.0
233,29,M,PhD,80,Other,81,85,Assist,0,3223.0
234,29,M,PhD,80,Other,81,86,Assist,0,3341.0
235,29,M,PhD,80,Other,81,87,Assoc,0,3610.0
236,29,M,PhD,80,Other,81,88,Assoc,0,3715.0
237,29,M,PhD,80,Other,81,89,Assoc,0,4032.0
238,29,M,PhD,80,Other,81,90,Assoc,0,4281.0
239,29,M,PhD,80,Other,81,91,Assoc,0,4480.0
240,29,M,PhD,80,Other,81,92,Assoc,0,4676.0
241,29,M,PhD,80,Other,81,93,Assoc,0,4812.0
242,29,M,PhD,80,Other,81,94,Assoc,0,4812.0
243,29,M,PhD,80,Other,81,95,Assoc,0,5022.0
244,30,M,PhD,78,Other,87,87,Assoc,0,3873.0
245,30,M,PhD,78,Other,87,88,Assoc,0,3986.0
246,30,M,PhD,78,Other,87,89,Assoc,0,4450.0
247,30,M,PhD,78,Other,87,90,Assoc,0,4933.0
248,30,M,PhD,78,Other,87,91,Full,0,5624.0
249,30,M,PhD,78,Other,87,92,Full,0,6040.0
250,30,M,PhD,78,Other,87,93,Full,0,6216.0
251,30,M,PhD,78,Other,87,94,Full,0,6216.0
252,30,M,PhD,78,Other,87,95,Full,0,6488.0
253,31,M,PhD,86,Other,90,90,Assist,0,4220.0
254,31,M,PhD,86,Other,90,91,Assist,0,4292.0
255,31,M,PhD,86,Other,90,92,Assist,0,4416.0
256,31,M,PhD,86,Other,90,93,Assist,0,4610.0
257,31,M,PhD,86,Other,90,94,Assoc,0,4743.0
258,31,M,PhD,86,Other,90,95,Assoc,0,5022.0
259,32,M,PhD,91,Arts,95,95,Assist,0,3939.0
260,34,M,PhD,86,Other,95,95,Assoc,0,8278.0
261,35,M,PhD,64,Other,65,76,Full,1,3246.0
262,35,M,PhD,64,Other,65,77,Full,1,3563.636
263,35,M,PhD,64,Other,65,78,Full,0,3672.0
264,35,M,PhD,64,Other,65,79,Full,0,4009.0
265,35,M,PhD,64,Other,65,80,Full,0,4276.0
266,35,M,PhD,64,Other,65,81,Full,0,4681.0
267,35,M,PhD,64,Other,65,82,Full,0,5006.061
268,35,M,PhD,64,Other,65,83,Full,0,5229.0
269,35,M,PhD,64,Other,65,84,Full,0,5504.0
270,35,M,PhD,64,Other,65,85,Full,0,5504.0
271,35,M,PhD,64,Other,65,86,Full,0,6002.0
272,35,M,PhD,64,Other,65,87,Full,0,6304.0
273,35,M,PhD,64,Other,65,88,Full,0,6394.0
274,35,M,PhD,64,Other,65,89,Full,0,6842.0
275,35,M,PhD,64,Other,65,90,Full,0,7162.0
276,35,M,PhD,64,Other,65,91,Full,0,7494.0
277,35,M,PhD,64,Other,65,92,Full,0,7712.0
278,35,M,PhD,64,Other,65,93,Full,0,7935.0
279,35,M,PhD,64,Other,65,94,Full,0,7935.0
280,35,M,PhD,64,Other,65,95,Full,0,8165.0
281,36,M,PhD,67,Prof,73,76,Assoc,1,2052.0
282,36,M,PhD,67,Prof,73,77,Assoc,1,2296.0
283,36,M,PhD,67,Prof,73,78,Assoc,1,2501.333
284,36,M,PhD,67,Prof,73,79,Assoc,1,2850.0
285,36,M,PhD,67,Prof,73,80,Assoc,1,3153.333
286,36,M,PhD,67,Prof,73,81,Assoc,0,3500.0
287,36,M,PhD,67,Prof,73,82,Assoc,0,3517.0
288,36,M,PhD,67,Prof,73,83,Assoc,0,3764.0
289,36,M,PhD,67,Prof,73,84,Assoc,0,3962.0
290,36,M,PhD,67,Prof,73,85,Assoc,0,3962.0
291,36,M,PhD,67,Prof,73,86,Assoc,0,4081.0
292,36,M,PhD,67,Prof,73,87,Assoc,0,4285.0
293,36,M,PhD,67,Prof,73,88,Full,0,4603.0
294,36,M,PhD,67,Prof,73,89,Full,0,5068.0
295,36,M,PhD,67,Prof,73,90,Full,0,5617.0
296,36,M,PhD,67,Prof,73,91,Full,0,6135.0
297,36,M,PhD,67,Prof,73,92,Full,0,6313.0
298,36,M,PhD,67,Prof,73,93,Full,0,6404.0
299,36,M,PhD,67,Prof,73,94,Full,0,6404.0
300,36,M,PhD,67,Prof,73,95,Full,0,6684.0
301,37,F,PhD,93,Other,93,93,Assist,0,4112.0
302,37,F,PhD,93,Other,93,94,Assist,0,4112.0
303,37,F,PhD,93,Other,93,95,Assist,0,4292.0
304,39,M,PhD,59,Prof,95,95,Full,0,14464.0
305,40,M,PhD,62,Other,70,76,Full,0,2810.0
306,40,M,PhD,62,Other,70,77,Full,0,3202.0
307,40,M,PhD,62,Other,70,78,Full,0,3434.0
308,40,M,PhD,62,Other,70,79,Full,0,3906.0
309,40,M,PhD,62,Other,70,80,Full,0,4169.0
310,40,M,PhD,62,Other,70,81,Full,0,4548.0
311,40,M,PhD,62,Other,70,82,Full,0,4548.0
312,40,M,PhD,62,Other,70,83,Full,0,4798.0
313,40,M,PhD,62,Other,70,84,Full,0,4981.0
314,40,M,PhD,62,Other,70,85,Full,0,4981.0
315,40,M,PhD,62,Other,70,86,Full,0,5431.0
316,40,M,PhD,62,Other,70,87,Full,0,5703.0
317,40,M,PhD,62,Other,70,88,Full,0,6039.0
318,40,M,PhD,62,Other,70,89,Full,0,6555.0
319,40,M,PhD,62,Other,70,90,Full,0,6861.0
320,40,M,PhD,62,Other,70,91,Full,0,7283.0
321,40,M,PhD,62,Other,70,92,Full,0,7388.0
322,40,M,PhD,62,Other,70,93,Full,0,7494.0
323,40,M,PhD,62,Other,70,94,Full,0,7494.0
324,40,M,PhD,62,Other,70,95,Full,0,7712.0
325,41,M,PhD,66,Other,66,76,Full,0,2171.0
326,41,M,PhD,66,Other,66,77,Full,0,2482.0
327,41,M,PhD,66,Other,66,78,Full,0,2671.0
328,41,M,PhD,66,Other,66,79,Full,0,2986.0
329,41,M,PhD,66,Other,66,80,Full,0,3239.0
330,41,M,PhD,66,Other,66,81,Full,0,3619.403
331,41,M,PhD,66,Other,66,82,Full,0,3723.0
332,41,M,PhD,66,Other,66,83,Full,0,3928.0
333,41,M,PhD,66,Other,66,84,Full,0,4195.0
334,41,M,PhD,66,Other,66,85,Full,0,4195.0
335,41,M,PhD,66,Other,66,86,Full,0,4321.0
336,41,M,PhD,66,Other,66,87,Full,0,4538.0
337,41,M,PhD,66,Other,66,88,Full,0,4669.0
338,41,M,PhD,66,Other,66,89,Full,0,4996.0
339,41,M,PhD,66,Other,66,90,Full,0,5229.0
340,41,M,PhD,66,Other,66,91,Full,0,5794.0
341,41,M,PhD,66,Other,66,92,Full,0,6135.0
342,41,M,PhD,66,Other,66,93,Full,0,6404.0
343,41,M,PhD,66,Other,66,94,Full,0,6404.478
344,41,M,PhD,66,Other,66,95,Full,0,7361.0
345,42,M,PhD,88,Prof,88,88,Assist,0,4603.0
346,42,M,PhD,88,Prof,88,89,Assist,0,4651.0
347,42,M,PhD,88,Prof,88,90,Assist,0,5229.0
348,42,M,PhD,88,Prof,88,91,Assist,0,5631.0
349,42,M,PhD,88,Prof,88,92,Assist,0,5878.0
350,42,M,PhD,88,Prof,88,93,Assoc,0,6223.0
351,42,M,PhD,88,Prof,88,94,Assoc,0,6223.0
352,42,M,PhD,88,Prof,88,95,Assoc,0,6684.0
353,44,F,PhD,95,Other,95,95,Assist,0,4292.0
354,45,F,PhD,69,Arts,83,83,Assist,0,2154.0
355,45,F,PhD,69,Arts,83,84,Assist,0,2368.0
356,45,F,PhD,69,Arts,83,85,Assist,0,2368.0
357,45,F,PhD,69,Arts,83,86,Assist,0,2735.0
358,45,F,PhD,69,Arts,83,87,Assist,0,2872.0
359,45,F,PhD,69,Arts,83,88,Assist,0,2955.0
360,45,F,PhD,69,Arts,83,89,Assoc,0,3596.0
361,45,F,PhD,69,Arts,83,90,Assoc,0,3711.0
362,45,F,PhD,69,Arts,83,91,Assoc,0,4053.0
363,45,F,PhD,69,Arts,83,92,Assoc,0,4171.0
364,45,F,PhD,69,Arts,83,93,Assoc,0,4231.0
365,45,F,PhD,69,Arts,83,94,Assoc,0,4231.0
366,45,F,PhD,69,Arts,83,95,Assoc,0,4353.0
367,46,M,PhD,77,Arts,87,87,Assist,0,3361.0
368,46,M,PhD,77,Arts,87,88,Assist,0,3361.0
369,46,M,PhD,77,Arts,87,89,Assoc,0,4269.0
370,46,M,PhD,77,Arts,87,90,Assoc,0,4405.0
371,46,M,PhD,77,Arts,87,91,Assoc,1,4610.0
372,46,M,PhD,77,Arts,87,92,Assoc,1,4812.0
373,46,M,PhD,77,Arts,87,93,Full,1,5242.0
374,46,M,PhD,77,Arts,87,94,Full,0,5242.0
375,46,M,PhD,77,Arts,87,95,Full,0,5394.0
376,47,M,PhD,68,Other,68,76,Assoc,0,1838.0
377,47,M,PhD,68,Other,68,77,Assoc,0,2096.0
378,47,M,PhD,68,Other,68,78,Assoc,0,2278.788
379,47,M,PhD,68,Other,68,79,Assoc,0,2540.0
380,47,M,PhD,68,Other,68,80,Assoc,0,2732.0
381,47,M,PhD,68,Other,68,81,Assoc,0,2962.0
382,47,M,PhD,68,Other,68,82,Assoc,0,2962.0
383,47,M,PhD,68,Other,68,83,Assoc,0,3125.0
384,47,M,PhD,68,Other,68,84,Full,0,3586.0
385,47,M,PhD,68,Other,68,85,Full,0,3586.0
386,47,M,PhD,68,Other,68,86,Full,0,4023.0
387,47,M,PhD,68,Other,68,87,Full,0,4225.0
388,47,M,PhD,68,Other,68,88,Full,0,4347.0
389,47,M,PhD,68,Other,68,89,Full,0,4718.0
390,47,M,PhD,68,Other,68,90,Full,0,4939.0
391,47,M,PhD,68,Other,68,91,Full,0,5095.0
392,47,M,PhD,68,Other,68,92,Full,0,5168.0
393,47,M,PhD,68,Other,68,93,Full,0,5318.0
394,47,M,PhD,68,Other,68,94,Full,0,5318.0
395,47,M,PhD,68,Other,68,95,Full,0,5712.0
396,48,M,PhD,56,Other,90,90,Full,0,11155.0
397,48,M,PhD,56,Other,90,91,Full,0,11840.0
398,48,M,PhD,56,Other,90,92,Full,0,12184.0
399,48,M,PhD,56,Other,90,93,Full,0,12537.0
400,48,M,PhD,56,Other,90,94,Full,0,12537.0
401,48,M,PhD,56,Other,90,95,Full,0,13086.0
402,49,M,PhD,71,Other,73,76,Assist,0,1683.0
403,49,M,PhD,71,Other,73,77,Assist,0,1828.0
404,49,M,PhD,71,Other,73,78,Assoc,0,2019.0
405,49,M,PhD,71,Other,73,79,Assoc,0,2314.925
406,49,M,PhD,71,Other,73,80,Assoc,0,2552.0
407,49,M,PhD,71,Other,73,81,Assoc,0,2798.0
408,49,M,PhD,71,Other,73,82,Assoc,0,2798.0
409,49,M,PhD,71,Other,73,83,Assoc,0,2952.0
410,49,M,PhD,71,Other,73,84,Assoc,0,3243.0
411,49,M,PhD,71,Other,73,85,Assoc,0,3243.0
412,49,M,PhD,71,Other,73,86,Assoc,0,3537.0
413,49,M,PhD,71,Other,73,87,Full,0,3822.0
414,49,M,PhD,71,Other,73,88,Full,0,4047.0
415,49,M,PhD,71,Other,73,89,Full,0,4456.0
416,49,M,PhD,71,Other,73,90,Full,0,4664.0
417,49,M,PhD,71,Other,73,91,Full,0,5095.0
418,49,M,PhD,71,Other,73,92,Full,0,5242.0
419,49,M,PhD,71,Other,73,93,Full,0,5318.0
420,49,M,PhD,71,Other,73,94,Full,0,5318.0
421,49,M,PhD,71,Other,73,95,Full,0,5472.0
422,51,M,PhD,58,Other,62,76,Full,0,2685.0
423,51,M,PhD,58,Other,62,77,Full,0,2888.0
424,51,M,PhD,58,Other,62,78,Full,0,3021.0
425,51,M,PhD,58,Other,62,79,Full,0,3297.015
426,51,M,PhD,58,Other,62,80,Full,0,3597.0
427,51,M,PhD,58,Other,62,81,Full,0,3943.0
428,51,M,PhD,58,Other,62,82,Full,0,4000.0
429,51,M,PhD,58,Other,62,83,Full,0,4220.0
430,51,M,PhD,58,Other,62,84,Full,0,4505.0
431,51,M,PhD,58,Other,62,85,Full,0,4505.0
432,51,M,PhD,58,Other,62,86,Full,0,4641.0
433,51,M,PhD,58,Other,62,87,Full,0,4874.0
434,51,M,PhD,58,Other,62,88,Full,0,4944.0
435,51,M,PhD,58,Other,62,89,Full,0,5366.0
436,51,M,PhD,58,Other,62,90,Full,0,5617.0
437,51,M,PhD,58,Other,62,91,Full,0,5878.0
438,51,M,PhD,58,Other,62,92,Full,0,6048.0
439,51,M,PhD,58,Other,62,93,Full,0,6223.0
440,51,M,PhD,58,Other,62,94,Full,0,6223.0
441,51,M,PhD,58,Other,62,95,Full,0,6496.0
442,52,M,PhD,81,Other,89,89,Assist,0,5068.0
443,52,M,PhD,81,Other,89,90,Assist,0,5155.0
444,52,M,PhD,81,Other,89,91,Assoc,0,6048.0
445,52,M,PhD,81,Other,89,92,Assoc,0,6496.0
446,52,M,PhD,81,Other,89,93,Assoc,0,6977.0
447,52,M,PhD,81,Other,89,94,Assoc,0,6977.0
448,52,M,PhD,81,Other,89,95,Assoc,0,7283.0
449,53,M,PhD,66,Other,66,76,Full,0,2232.0
450,53,M,PhD,66,Other,66,77,Full,0,2460.0
451,53,M,PhD,66,Other,66,78,Full,0,2585.0
452,53,M,PhD,66,Other,66,79,Full,0,2880.597
453,53,M,PhD,66,Other,66,80,Full,0,3253.0
454,53,M,PhD,66,Other,66,82,Full,1,3568.0
455,53,M,PhD,66,Other,66,83,Full,1,4403.0
456,53,M,PhD,66,Other,66,84,Full,1,4771.0
457,53,M,PhD,66,Other,66,85,Full,1,4771.0
458,53,M,PhD,66,Other,66,86,Full,1,5431.0
459,53,M,PhD,66,Other,66,87,Full,1,5703.0
460,53,M,PhD,66,Other,66,88,Full,1,6039.0
461,53,M,PhD,66,Other,66,89,Full,1,6555.0
462,53,M,PhD,66,Other,66,90,Full,1,6861.0
463,53,M,PhD,66,Other,66,91,Full,1,7180.0
464,53,M,PhD,66,Other,66,92,Full,1,7388.0
